Date,Price Earnings Ratio (P/E)
19/02/2025,27.6768
18/02/2025,27.6111
17/02/2025,27.5438
14/02/2025,27.5438
13/02/2025,27.5458
12/02/2025,27.2615
11/02/2025,27.3326
10/02/2025,27.3233
07/02/2025,27.1411
06/02/2025,27.4005
05/02/2025,27.3033
04/02/2025,27.197
03/02/2025,27.0019
31/01/2025,27.2089
30/01/2025,27.3469
29/01/2025,27.2034
28/01/2025,27.3313
27/01/2025,27.0817
24/01/2025,27.4824
23/01/2025,27.5611
22/01/2025,27.4154
21/01/2025,27.2499
20/01/2025,27.0131
17/01/2025,27.0131
16/01/2025,26.7459
15/01/2025,26.8025
14/01/2025,26.3205
13/01/2025,26.2903
10/01/2025,26.249
09/01/2025,26.6599
08/01/2025,26.6599
07/01/2025,26.6183
06/01/2025,26.9172
03/01/2025,26.769
02/01/2025,26.436
01/01/2025,26.4949
31/12/2024,26.4961
30/12/2024,26.6101
27/12/2024,26.898
26/12/2024,27.1987
25/12/2024,27.2097
24/12/2024,27.2097
23/12/2024,26.9126
20/12/2024,26.7165
19/12/2024,26.4289
18/12/2024,26.4518
17/12/2024,27.2559
16/12/2024,27.3605
13/12/2024,27.2563
12/12/2024,27.2572
11/12/2024,27.2454
10/12/2024,27.0243
09/12/2024,27.1053
06/12/2024,27.2729
05/12/2024,27.2025
04/12/2024,27.2551
03/12/2024,27.0838
02/12/2024,27.0623
29/11/2024,26.9962
28/11/2024,26.8457
27/11/2024,26.8457
26/11/2024,26.9431
25/11/2024,26.7792
22/11/2024,26.6974
21/11/2024,26.6052
20/11/2024,26.4606
19/11/2024,26.9635
18/11/2024,26.857
15/11/2024,26.7522
14/11/2024,27.1102
13/11/2024,27.2752
12/11/2024,27.2689
11/11/2024,27.348
08/11/2024,27.3215
07/11/2024,27.2192
06/11/2024,27.0184
05/11/2024,26.3519
04/11/2024,26.0325
01/11/2024,26.1064
31/10/2024,26
30/10/2024,26.4932
29/10/2024,26.5809
28/10/2024,26.5366
25/10/2024,26.4664
24/10/2024,26.4744
23/10/2024,26.4158
22/10/2024,26.6608
21/10/2024,26.6735
18/10/2024,26.7222
17/10/2024,26.6165
16/10/2024,26.621
15/10/2024,26.497
14/10/2024,26.7002
11/10/2024,26.496
10/10/2024,26.3366
09/10/2024,26.3912
08/10/2024,26.2048
07/10/2024,25.9534
04/10/2024,26.2046
03/10/2024,25.9716
02/10/2024,26.0153
01/10/2024,26.0117
30/09/2024,26.2594
27/09/2024,26.1486
26/09/2024,26.1814
25/09/2024,26.0761
24/09/2024,26.1247
23/09/2024,26.0588
20/09/2024,25.9858
19/09/2024,26.0364
18/09/2024,25.6017
17/09/2024,25.6761
16/09/2024,25.6693
13/09/2024,25.6371
12/09/2024,25.4992
11/09/2024,25.3094
10/09/2024,25.0418
09/09/2024,24.9303
06/09/2024,24.6449
05/09/2024,25.0778
04/09/2024,25.1227
03/09/2024,25.1608
02/09/2024,25.7046
30/08/2024,25.7046
29/08/2024,25.4446
28/08/2024,25.4405
27/08/2024,26.1008
26/08/2024,26.0592
23/08/2024,26.1417
22/08/2024,25.8449
21/08/2024,26.0779
20/08/2024,25.9678
19/08/2024,26.0194
16/08/2024,25.7689
15/08/2024,25.7177
14/08/2024,25.3094
13/08/2024,25.2061
12/08/2024,24.7885
09/08/2024,24.7874
08/08/2024,24.6721
07/08/2024,24.1164
06/08/2024,24.3044
05/08/2024,24.0553
02/08/2024,24.7985
01/08/2024,25.2629
31/07/2024,25.6136
30/07/2024,25.2154
29/07/2024,25.3411
26/07/2024,25.3205
25/07/2024,25.0428
24/07/2024,25.1722
23/07/2024,25.7687
22/07/2024,25.809
19/07/2024,25.5334
18/07/2024,25.717
17/07/2024,25.9196
16/07/2024,26.2857
15/07/2024,26.1188
12/07/2024,26.0452
11/07/2024,25.9023
10/07/2024,26.1313
09/07/2024,25.8673
08/07/2024,25.8481
05/07/2024,25.8219
04/07/2024,25.6819
03/07/2024,25.6819
02/07/2024,25.552
01/07/2024,25.3947
28/06/2024,25.3578
27/06/2024,25.4618
26/06/2024,25.4387
25/06/2024,25.3987
24/06/2024,25.2992
21/06/2024,25.377
20/06/2024,25.4054
19/06/2024,25.471
18/06/2024,25.471
17/06/2024,25.407
14/06/2024,25.2138
13/06/2024,25.2237
12/06/2024,25.1647
11/06/2024,24.9177
10/06/2024,24.8503
07/06/2024,24.7846
06/06/2024,24.8122
05/06/2024,24.8157
04/06/2024,24.5259
03/06/2024,24.4885
31/05/2024,24.4613
30/05/2024,24.2664
29/05/2024,24.4081
28/05/2024,24.5769
27/05/2024,24.5708
24/05/2024,24.5708
23/05/2024,24.3999
22/05/2024,24.5636
21/05/2024,25.2415
20/05/2024,25.1785
17/05/2024,25.1554
16/05/2024,25.1262
15/05/2024,25.1786
14/05/2024,24.887
13/05/2024,24.7672
10/05/2024,24.7732
09/05/2024,24.7324
08/05/2024,24.6071
07/05/2024,24.6072
06/05/2024,24.5742
03/05/2024,24.3231
02/05/2024,24.0214
01/05/2024,23.8041
30/04/2024,23.8807
29/04/2024,24.2624
26/04/2024,24.1855
25/04/2024,23.9411
24/04/2024,24.0512
23/04/2024,24.046
22/04/2024,23.7617
19/04/2024,23.5561
18/04/2024,23.7642
17/04/2024,23.8168
16/04/2024,23.9553
15/04/2024,24.0034
12/04/2024,24.2955
11/04/2024,24.6542
10/04/2024,24.472
09/04/2024,24.7056
08/04/2024,24.67
05/04/2024,24.6792
04/04/2024,24.4083
03/04/2024,24.7131
02/04/2024,24.6869
01/04/2024,24.8669
29/03/2024,24.9187
28/03/2024,24.9187
27/03/2024,24.8909
26/03/2024,24.6779
25/03/2024,24.7472
22/03/2024,24.823
21/03/2024,24.858
20/03/2024,24.7781
19/03/2024,24.5594
18/03/2024,24.4214
15/03/2024,24.2681
14/03/2024,24.4351
13/03/2024,24.5062
12/03/2024,24.5535
11/03/2024,24.2813
08/03/2024,24.3086
07/03/2024,24.4684
06/03/2024,24.1821
05/03/2024,24.0606
04/03/2024,24.3132
01/03/2024,24.3423
29/02/2024,24.1489
28/02/2024,24.0065
27/02/2024,23.9775
26/02/2024,23.9274
23/02/2024,24.0718
22/02/2024,24.0503
21/02/2024,23.7656
20/02/2024,23.7356
19/02/2024,23.879
16/02/2024,23.879
15/02/2024,23.9944
14/02/2024,23.8556
13/02/2024,23.6292
12/02/2024,23.9568
09/02/2024,23.9795
08/02/2024,23.8426
07/02/2024,23.829
06/02/2024,23.6343
05/02/2024,23.5798
02/02/2024,23.6551
01/02/2024,23.4051
31/01/2024,23.1163
30/01/2024,23.4947
29/01/2024,23.5088
26/01/2024,23.3325
25/01/2024,23.3477
24/01/2024,23.2255
23/01/2024,23.2067
22/01/2024,23.1391
19/01/2024,23.0884
18/01/2024,22.8076
17/01/2024,22.6085
16/01/2024,22.7362
15/01/2024,22.8214
12/01/2024,22.8214
11/01/2024,22.8042
10/01/2024,22.8195
09/01/2024,22.691
08/01/2024,22.7246
05/01/2024,22.4083
04/01/2024,22.3674
03/01/2024,22.4444
02/01/2024,22.6258
01/01/2024,22.7546
29/12/2023,22.757
28/12/2023,22.8215
27/12/2023,22.8131
26/12/2023,22.7805
25/12/2023,22.6845
22/12/2023,22.6845
21/12/2023,22.6469
20/12/2023,22.416
19/12/2023,22.75
18/12/2023,22.617
15/12/2023,22.515
14/12/2023,22.5173
13/12/2023,22.4578
12/12/2023,22.1553
11/12/2023,22.0535
08/12/2023,21.9672
07/12/2023,21.8777
06/12/2023,21.6541
05/12/2023,21.7391
04/12/2023,21.7516
01/12/2023,21.8698
30/11/2023,21.7421
29/11/2023,21.6602
28/11/2023,21.6663
27/11/2023,21.6341
24/11/2023,21.6765
23/11/2023,21.6636
22/11/2023,21.6636
21/11/2023,21.5809
20/11/2023,21.6315
17/11/2023,21.4681
16/11/2023,21.4407
15/11/2023,21.4186
14/11/2023,21.3812
13/11/2023,20.9813
10/11/2023,20.9989
09/11/2023,20.6761
08/11/2023,20.8371
07/11/2023,20.7973
06/11/2023,20.7293
03/11/2023,20.6801
02/11/2023,20.5059
01/11/2023,20.5745
31/10/2023,20.3606
30/10/2023,20.2296
27/10/2023,19.9895
26/10/2023,20.0859
25/10/2023,20.3265
24/10/2023,20.6222
23/10/2023,20.4734
20/10/2023,20.508
19/10/2023,20.7694
18/10/2023,20.9471
17/10/2023,21.2316
16/10/2023,21.2336
13/10/2023,21.0111
12/10/2023,21.117
11/10/2023,21.2498
10/10/2023,21.1589
09/10/2023,21.0493
06/10/2023,20.9174
05/10/2023,20.6732
04/10/2023,20.7002
03/10/2023,20.5337
02/10/2023,20.8198
29/09/2023,20.8201
28/09/2023,20.8767
27/09/2023,20.7544
26/09/2023,20.7496
25/09/2023,21.0628
22/09/2023,20.9784
21/09/2023,21.0267
20/09/2023,21.3773
19/09/2023,21.58
18/09/2023,21.627
15/09/2023,21.6113
14/09/2023,21.8773
13/09/2023,21.6946
12/09/2023,21.6677
11/09/2023,21.7918
08/09/2023,21.6462
07/09/2023,21.6157
06/09/2023,21.6853
05/09/2023,21.8376
04/09/2023,21.9296
01/09/2023,21.9296
31/08/2023,21.8903
30/08/2023,21.9112
29/08/2023,21.7969
28/08/2023,21.4813
25/08/2023,21.3476
24/08/2023,21.2044
23/08/2023,21.4699
22/08/2023,21.2451
21/08/2023,21.3018
18/08/2023,21.1562
17/08/2023,21.153
16/08/2023,21.3212
15/08/2023,21.456
14/08/2023,21.7095
11/08/2023,21.5859
10/08/2023,21.6088
09/08/2023,21.6041
08/08/2023,21.7502
07/08/2023,21.8317
04/08/2023,21.6479
03/08/2023,21.7557
02/08/2023,21.5894
01/08/2023,21.8924
31/07/2023,21.9509
28/07/2023,21.9187
27/07/2023,21.7043
26/07/2023,21.8447
25/07/2023,21.848
24/07/2023,21.7846
21/07/2023,21.697
20/07/2023,21.69
19/07/2023,21.8376
18/07/2023,21.7862
17/07/2023,21.6322
14/07/2023,21.5491
13/07/2023,21.5712
12/07/2023,21.3901
11/07/2023,21.2327
10/07/2023,21.0905
07/07/2023,21.0399
06/07/2023,21.1004
05/07/2023,21.2689
04/07/2023,21.3108
03/07/2023,21.3108
30/06/2023,21.3228
29/06/2023,21.0643
28/06/2023,20.9705
27/06/2023,20.9779
26/06/2023,20.7403
23/06/2023,20.8338
22/06/2023,20.9943
21/06/2023,20.9166
20/06/2023,21.0269
19/06/2023,21.1272
16/06/2023,21.1272
15/06/2023,21.2051
14/06/2023,20.9504
13/06/2023,20.9332
12/06/2023,20.7891
09/06/2023,20.5969
08/06/2023,20.5733
07/06/2023,20.4468
06/06/2023,20.5252
05/06/2023,20.4754
02/06/2023,20.5166
01/06/2023,20.2225
31/05/2023,20.0157
30/05/2023,20.1314
29/05/2023,20.1293
26/05/2023,20.1293
25/05/2023,19.8662
24/05/2023,19.6762
23/05/2023,19.8216
22/05/2023,20.044
19/05/2023,20.0406
18/05/2023,20.0765
17/05/2023,19.8894
16/05/2023,19.6392
15/05/2023,19.765
12/05/2023,19.7064
11/05/2023,19.7376
10/05/2023,19.768
09/05/2023,19.6729
08/05/2023,19.7446
05/05/2023,19.7272
04/05/2023,19.3744
03/05/2023,19.5331
02/05/2023,19.6708
01/05/2023,19.9013
28/04/2023,19.909
27/04/2023,19.7461
26/04/2023,19.3671
25/04/2023,19.4418
24/04/2023,19.7541
21/04/2023,19.7373
20/04/2023,19.7195
19/04/2023,19.8376
18/04/2023,19.8393
17/04/2023,19.8223
14/04/2023,19.757
13/04/2023,19.798
12/04/2023,19.5388
11/04/2023,19.62
10/04/2023,19.6208
07/04/2023,19.6082
06/04/2023,19.6082
05/04/2023,19.5383
04/04/2023,19.5871
03/04/2023,19.7013
31/03/2023,19.6333
30/03/2023,19.3539
29/03/2023,19.2439
28/03/2023,18.9738
27/03/2023,19.0035
24/03/2023,18.972
23/03/2023,18.8656
22/03/2023,18.8095
21/03/2023,19.1244
20/03/2023,18.8793
17/03/2023,18.7124
16/03/2023,18.9209
15/03/2023,18.5941
14/03/2023,18.7248
13/03/2023,18.4213
10/03/2023,18.4492
09/03/2023,18.7202
08/03/2023,19.0729
07/03/2023,19.0456
06/03/2023,19.3424
03/03/2023,19.3291
02/03/2023,19.0218
01/03/2023,18.8725
28/02/2023,18.9212
27/02/2023,18.9828
24/02/2023,18.9394
23/02/2023,19.1518
22/02/2023,19.1068
21/02/2023,19.0854
20/02/2023,19.4494
17/02/2023,19.4486
16/02/2023,19.504
15/02/2023,19.7501
14/02/2023,19.6935
13/02/2023,19.6801
10/02/2023,18.8084
09/02/2023,18.7672
08/02/2023,18.9344
07/02/2023,19.7743
06/02/2023,19.523
03/02/2023,19.6436
02/02/2023,19.8491
01/02/2023,19.5616
31/01/2023,19.3592
30/01/2023,19.0798
27/01/2023,19.3305
26/01/2023,19.2824
25/01/2023,19.0725
24/01/2023,19.0772
23/01/2023,19.0907
20/01/2023,18.8666
19/01/2023,18.5163
18/01/2023,18.6588
17/01/2023,18.9538
16/01/2023,18.9923
13/01/2023,18.9923
12/01/2023,18.9167
11/01/2023,18.8523
10/01/2023,18.6132
09/01/2023,18.4842
06/01/2023,18.4984
05/01/2023,18.0853
04/01/2023,18.2984
03/01/2023,18.1615
02/01/2023,18.2344
30/12/2022,18.2365
29/12/2022,18.2829
28/12/2022,17.9692
27/12/2022,18.188
26/12/2022,18.262
23/12/2022,18.262
22/12/2022,18.1555
21/12/2022,18.4217
20/12/2022,18.1518
19/12/2022,18.133
16/12/2022,18.2978
15/12/2022,18.5039
14/12/2022,18.9767
13/12/2022,19.092
12/12/2022,18.9538
09/12/2022,18.6871
08/12/2022,18.8254
07/12/2022,18.6313
06/12/2022,18.6661
05/12/2022,18.9385
02/12/2022,19.2836
01/12/2022,19.3067
30/11/2022,19.3236
29/11/2022,18.7283
28/11/2022,18.7515
25/11/2022,19.0456
24/11/2022,19.051
23/11/2022,19.051
22/11/2022,18.9389
21/11/2022,18.6822
18/11/2022,18.7549
17/11/2022,18.666
16/11/2022,18.723
15/11/2022,18.8632
14/11/2022,18.688
11/11/2022,18.8573
10/11/2022,18.6845
09/11/2022,17.7024
08/11/2022,18.0811
07/11/2022,17.9674
04/11/2022,17.9902
03/11/2022,17.7488
02/11/2022,17.9384
01/11/2022,18.3983
