Date,BEst P/E Ratio,S5ENRS INDEX ,BEST P/E Ratio ,1FY Local CCY
2025-06-20,17.2429,,,
2025-06-19,17.0809,,,
2025-06-18,17.086,,,
2025-06-17,17.3218,,,
2025-06-16,17.1413,,,
2025-06-13,17.1864,,,
2025-06-12,16.8816,,,
2025-06-11,16.8131,,,
2025-06-10,16.5648,,,
2025-06-09,16.2831,,,
2025-06-06,16.197,,,
2025-06-05,15.8819,,,
2025-06-04,15.8873,,,
2025-06-03,16.1831,,,
2025-06-02,16.0182,,,
2025-05-30,15.8408,,,
2025-05-29,15.9523,,,
2025-05-28,15.8207,,,
2025-05-27,16.0121,,,
2025-05-26,15.8823,,,
2025-05-23,15.8771,,,
2025-05-22,15.8382,,,
2025-05-21,15.9638,,,
2025-05-20,16.2591,,,
2025-05-19,16.4248,,,
2025-05-16,16.5478,,,
2025-05-15,16.538,,,
2025-05-14,16.4861,,,
2025-05-13,16.5176,,,
2025-05-12,16.3856,,,
2025-05-09,15.8565,,,
2025-05-08,15.6441,,,
2025-05-07,15.4115,,,
2025-05-06,15.3988,,,
2025-05-05,15.3729,,,
2025-05-02,15.4501,,,
2025-05-01,15.3076,,,
2025-04-30,15.2271,,,
2025-04-29,15.6227,,,
2025-04-28,15.51,,,
2025-04-25,15.3524,,,
2025-04-24,15.342,,,
2025-04-23,15.1199,,,
2025-04-22,15.0576,,,
2025-04-21,14.5454,,,
2025-04-18,14.8973,,,
2025-04-17,14.8973,,,
2025-04-16,14.4761,,,
2025-04-15,14.2984,,,
2025-04-14,14.0537,,,
2025-04-11,13.7249,,,
2025-04-10,13.382,,,
2025-04-09,14.1336,,,
2025-04-08,13.1294,,,
2025-04-07,13.4568,,,
2025-04-04,13.3985,,,
2025-04-03,14.6165,,,
2025-04-02,15.7374,,,
2025-04-01,15.7261,,,
2025-03-31,15.6171,,,
2025-03-28,15.4923,,,
2025-03-27,15.5654,,,
2025-03-26,15.6636,,,
2025-03-25,15.4523,,,
2025-03-24,15.3692,,,
2025-03-21,15.2875,,,
2025-03-20,15.3852,,,
2025-03-19,15.338,,,
2025-03-18,15.0936,,,
2025-03-17,15.0579,,,
2025-03-14,14.798,,,
2025-03-13,14.384,,,
2025-03-12,14.4811,,,
2025-03-11,14.4155,,,
2025-03-10,14.5118,,,
2025-03-07,14.381,,,
2025-03-06,14.1369,,,
2025-03-05,14.0696,,,
2025-03-04,14.2425,,,
2025-03-03,14.3523,,,
2025-02-28,14.8804,,,
2025-02-27,14.654,,,
2025-02-26,14.5752,,,
2025-02-25,14.6488,,,
2025-02-24,14.8571,,,
2025-02-21,14.8768,,,
2025-02-20,15.1813,,,
2025-02-19,15.0505,,,
2025-02-18,14.954,,,
2025-02-17,14.7618,,,
2025-02-14,14.7618,,,
2025-02-13,14.7427,,,
2025-02-12,14.6443,,,
2025-02-11,15.0492,,,
2025-02-10,14.9402,,,
2025-02-07,14.6395,,,
2025-02-06,14.5382,,,
2025-02-05,15.7373,,,
2025-02-04,15.7193,,,
