Date,BEst P/E Ratio,price,Returns,transformed,cumret_best,pe_signal
1990-02-01,18.1207,88.231,,,,0.0
1990-02-02,18.1192,88.887,0.007435028504720664,,,0.0
1990-02-05,18.2549,89.105,0.0024525521167324538,,,0.0
1990-02-06,18.2997,88.55,-0.006228606699960837,,,0.0
1990-02-07,18.1857,90.137,0.017922077922077895,,,0.0
1990-02-08,18.5116,90.844,0.007843615829237649,,,0.0
1990-02-09,18.6421,90.92,0.0008365990048875283,,,0.0
1990-02-12,18.658,89.864,-0.011614606247250303,,,0.0
1990-02-13,18.4413,90.35,0.005408172349327778,,,0.0
1990-02-14,18.541,90.279,-0.0007858328721638275,,,0.0
1990-02-15,18.5265,91.905,0.018010833084106004,,,0.0
1990-02-16,18.8601,91.625,-0.003046624231543449,,,0.0
1990-02-20,18.802,90.77,-0.009331514324693035,,,0.0
1990-02-21,18.6266,90.915,0.0015974440894570563,,,0.0
1990-02-22,18.6563,89.507,-0.015486993345432576,,,0.0
1990-02-23,18.3674,88.964,-0.006066564626230453,,,0.0
1990-02-26,18.4216,90.332,0.015377006429566853,,,0.0
1990-02-27,18.7049,90.127,-0.002269406190497203,,,0.0
1990-02-28,18.6624,89.815,-0.0034617817080342395,,,0.0
1990-03-01,18.5978,89.732,-0.0009241218059343748,,,0.0
1990-03-02,18.5806,90.297,0.006296527437257504,,,0.0
1990-03-05,18.6974,89.632,-0.007364585755894382,,,0.0
1990-03-06,18.5597,90.872,0.013834344876829663,,,0.0
1990-03-07,18.8165,90.729,-0.0015736420459547817,,,0.0
1990-03-08,18.7869,90.846,0.0012895546076778786,,,0.0
1990-03-09,18.8111,89.744,-0.012130418510446273,,,0.0
1990-03-12,18.5832,89.779,0.0003899982171509109,,,0.0
1990-03-13,18.5904,88.897,-0.009824123681484442,,,0.0
1990-03-14,18.4078,89.604,0.007953024286533772,,,0.0
1990-03-15,18.5542,90.03,0.004754252042319607,,,0.0
1990-03-16,18.6424,91.144,0.012373653226702253,,,0.0
1990-03-19,18.8731,90.968,-0.0019310102694637399,,,0.0
1990-03-20,18.8366,90.098,-0.009563802655879083,,,0.0
1990-03-21,18.6565,89.407,-0.007669426624342446,,,0.0
1990-03-22,18.5134,88.672,-0.008220832820696411,,,0.0
1990-03-23,18.3612,88.877,0.002311891014074252,,,0.0
1990-03-26,18.4036,88.808,-0.0007763538373256607,,,0.0
1990-03-27,18.3894,89.69,0.009931537699306325,,,0.0
1990-03-28,18.572,89.971,0.0031330137139036207,,,0.0
1990-03-29,18.6302,89.921,-0.000555734625601545,,,0.0
1990-03-30,18.6198,90.066,0.0016125265510837927,,,0.0
1990-04-02,18.6499,89.973,-0.001032576110852057,,,0.0
1990-04-03,18.6307,91.455,0.016471608149111416,,,0.0
1990-04-04,18.9375,90.213,-0.013580449401344952,,,0.0
1990-04-05,18.6804,90.009,-0.0022613148880981093,,,0.0
1990-04-06,18.6381,89.829,-0.0019998000199981103,,,0.0
1990-04-09,18.6007,89.586,-0.0027051397655545317,,,0.0
1990-04-10,13.9598,88.804,-0.008729042484316718,,,0.0
1990-04-11,13.8469,87.449,-0.015258321697220856,,,0.0
1990-04-12,13.616,88.228,0.00890804926299893,,,0.0
1990-04-16,13.756,88.43,0.0022895226005350544,,,0.0
1990-04-17,13.7962,88.786,0.004025783105281011,,,0.0
1990-04-18,13.8667,87.931,-0.009629896605320654,,,0.0
1990-04-19,13.7315,87.956,0.0002843138369859055,,,0.0
1990-04-20,13.7467,87.803,-0.0017395061166948222,,,0.0
1990-04-23,13.7891,86.594,-0.013769461180141995,,,0.0
1990-04-24,13.6062,86.51,-0.0009700441139107729,,,0.0
1990-04-25,13.5961,86.945,0.005028320425384258,,,0.0
1990-04-26,13.6454,87.031,0.0009891310598655334,,,0.0
1990-04-27,13.6653,86.27,-0.00874401075478859,,,0.0
1990-04-30,13.5919,86.622,0.0040802132838761995,,,0.0
1990-05-01,13.6479,87.013,0.004513864838032067,,,0.0
1990-05-02,13.6862,87.807,0.009125073264914407,,,0.0
1990-05-03,13.8054,88.323,0.005876524650654247,,,0.0
1990-05-04,13.9004,88.963,0.007246130679438023,,,0.0
1990-05-07,13.9636,89.182,0.002461697559659637,,,0.0
1990-05-08,13.9845,89.234,0.0005830773025945479,,,0.0
1990-05-09,13.9905,89.408,0.0019499293991080968,,,0.0
1990-05-10,14.0415,89.719,0.0034784359341444304,,,0.0
1990-05-11,14.0977,91.881,0.024097459846855296,,,0.0
1990-05-14,14.4748,92.704,0.008957238166759085,,,0.0
1990-05-15,14.6051,92.268,-0.0047031411805315,,,0.0
1990-05-16,14.5121,92.202,-0.0007153075822603494,,,0.0
1990-05-17,14.5112,92.343,0.0015292509923863218,,,0.0
1990-05-18,14.5303,92.237,-0.0011478942637774825,,,0.0
1990-05-21,14.5368,92.669,0.004683586846927046,,,0.0
1990-05-22,14.6042,92.24,-0.004629379835759506,,,0.0
1990-05-23,14.5626,91.706,-0.005789245446660818,,,0.0
1990-05-24,14.4716,90.668,-0.011318779578217364,,,0.0
1990-05-25,14.3018,89.604,-0.011735121542330362,,,0.0
1990-05-29,14.1458,91.455,0.020657559930360225,,,0.0
1990-05-30,14.441,91.965,0.005576513039199593,,,0.0
1990-05-31,14.5451,91.941,-0.00026096884684390087,,,0.0
1990-06-01,14.5584,91.642,-0.003252085576619823,,,0.0
1990-06-04,14.5333,92.364,0.007878483664695235,,,0.0
1990-06-05,14.6724,91.477,-0.009603308648391207,,,0.0
1990-06-06,14.5283,90.385,-0.011937426894191971,,,0.0
1990-06-07,14.3575,90.083,-0.0033412623776070127,,,0.0
1990-06-08,14.2924,89.396,-0.007626300189824908,,,0.0
1990-06-11,14.1822,90.442,0.011700747237012754,,,0.0
1990-06-12,14.3849,91.65,0.013356626346166856,,,0.0
1990-06-13,14.5906,91.128,-0.00569558101473,,,0.0
1990-06-14,14.4863,90.769,-0.0039395136511279905,,,0.0
1990-06-15,14.4346,91.209,0.004847469951194672,,,0.0
1990-06-18,14.5375,89.735,-0.01616068589722508,,,0.0
1990-06-19,14.312,90.274,0.0060065749150275405,,,0.0
1990-06-20,14.3778,90.793,0.00574916365730993,,,0.0
1990-06-21,14.4635,90.885,0.0010132939764078142,,,0.0
1990-06-22,14.5047,89.515,-0.015073994608571284,,,0.0
1990-06-25,14.2757,88.975,-0.0060325085181255345,,,0.0
1990-06-26,14.1945,88.855,-0.0013486934532170869,,,0.0
1990-06-27,14.1121,89.658,0.009037195430757983,,,0.0
1990-06-28,14.2787,89.995,0.003758727609360024,,,0.0
1990-06-29,14.3456,89.832,-0.0018112117339853517,,,0.0
1990-07-02,14.4532,89.664,-0.0018701576275713672,,,0.0
1990-07-03,14.4111,89.458,-0.0022974660956459614,,,0.0
1990-07-05,14.3642,88.582,-0.009792304768718285,,,0.0
1990-07-06,14.2202,89.063,0.005429997064866576,,,0.0
1990-07-09,14.3342,89.075,0.00013473608569225526,,,0.0
1990-07-10,14.3314,88.469,-0.006803255683413001,,,0.0
1990-07-11,14.2248,90.589,0.02396319614780329,,,0.0
1990-07-12,14.5624,93.7,0.034341917892900975,,,0.0
1990-07-13,15.0628,94.183,0.00515474919957315,,,0.0
1990-07-16,15.0954,94.222,0.0004140874680143014,,,0.0
1990-07-17,15.0978,94.179,-0.0004563690008702048,,,0.0
1990-07-18,15.0979,93.662,-0.005489546501874054,,,0.0
1990-07-19,15.032,95.88,0.023680895133565194,,,0.0
1990-07-20,15.4158,95.055,-0.00860450563203996,,,0.0
1990-07-23,15.2135,94.117,-0.009867971174583157,,,0.0
1990-07-24,15.0982,96.788,0.028379570109544394,,,0.0
1990-07-25,15.5402,96.2,-0.00607513328098519,,,0.0
1990-07-26,15.4227,95.079,-0.011652806652806769,,,0.0
1990-07-27,15.2414,95.243,0.0017248814144028568,,,0.0
1990-07-30,15.2714,96.819,0.016547147821887265,,,0.0
1990-07-31,15.5713,98.242,0.014697528377694447,,,0.0
1990-08-01,15.7964,98.643,0.004081757293214583,,,0.0
1990-08-02,15.8684,101.373,0.027675557312733856,,,0.0
1990-08-03,16.3226,100.204,-0.011531670168585473,,,0.0
1990-08-06,16.1534,101.483,0.012763961518502454,,,0.0
1990-08-07,16.3656,100.345,-0.011213700816885663,,,0.0
1990-08-08,16.1947,98.416,-0.01922367830983107,,,0.0
1990-08-09,15.8635,98.306,-0.0011177044383027246,,,0.0
1990-08-10,15.8517,98.306,0.0,,,0.0
1990-08-13,15.8071,99.331,0.010426627062437799,,,0.0
1990-08-14,15.9692,99.255,-0.0007651186437266366,,,0.0
1990-08-15,15.9581,98.628,-0.006317062112739857,,,0.0
1990-08-16,15.8565,98.399,-0.002321855862432609,,,0.0
1990-08-17,15.7887,99.215,0.008292767202918716,,,0.0
1990-08-20,15.8167,100.583,0.013788237665675496,,,0.0
1990-08-21,16.0884,98.629,-0.019426742093594296,,,0.0
1990-08-22,15.8049,98.029,-0.006083403461456638,,,0.0
1990-08-23,15.7117,94.782,-0.03312285140111604,,,0.0
1990-08-24,15.1758,93.689,-0.011531725433099105,,,0.0
1990-08-27,14.8719,94.153,0.004952555796304825,,,0.0
1990-08-28,14.9534,95.694,0.01636697715420632,,,0.0
1990-08-29,15.1946,96.074,0.003970990866720925,,,0.0
1990-08-30,15.2705,94.399,-0.0174344775901909,,,0.0
1990-08-31,14.996,95.895,0.015847625504507468,,,0.0
1990-09-04,15.0983,96.614,0.007497784034621313,,,0.0
1990-09-05,15.1851,98.514,0.01966588693150051,,,0.0
1990-09-06,15.4867,98.564,0.0005075420752380655,,,0.0
1990-09-07,15.4713,98.993,0.004352501927681551,,,0.0
1990-09-10,15.5662,97.84,-0.011647288192094263,,,0.0
1990-09-11,15.4011,97.548,-0.0029844644317252866,,,0.0
1990-09-12,15.3746,98.804,0.012875712469758493,,,0.0
1990-09-13,15.5848,98.203,-0.006082749686247557,,,0.0
1990-09-14,15.4637,98.438,0.002393002250440368,,,0.0
1990-09-17,15.4325,99.844,0.014283102054084784,,,0.0
1990-09-18,15.6351,99.372,-0.004727374704538989,,,0.0
1990-09-19,15.6157,98.995,-0.003793825222396574,,,0.0
1990-09-20,15.5908,98.063,-0.009414616899843464,,,0.0
1990-09-21,15.4545,98.578,0.005251725931288975,,,0.0
